prime-parX, N, P, Primes Found, Time (ms)
1, 10, 1, 4, 0.429943ms
1, 10, 2, 4, 0.728722ms
1, 10, 4, 4, 0.662882ms
1, 10, 8, 4, 0.992259ms
1, 10, 16, 4, 2.192055ms
1, 10, 32, 4, 3.947949ms
1, 10, 64, 4, 7.881377ms
1, 10, 128, 4, 17.704705ms
1, 100, 1, 25, 0.384194ms
1, 100, 2, 25, 0.457989ms
1, 100, 4, 25, 0.632116ms
1, 100, 8, 25, 1.190738ms
1, 100, 16, 25, 1.987400ms
1, 100, 32, 25, 4.089451ms
1, 100, 64, 25, 7.412524ms
1, 100, 128, 25, 13.582003ms
1, 1000, 1, 168, 0.376339ms
1, 1000, 2, 168, 0.522452ms
1, 1000, 4, 168, 0.761845ms
1, 1000, 8, 168, 1.214811ms
1, 1000, 16, 168, 2.292593ms
1, 1000, 32, 168, 4.452494ms
1, 1000, 64, 168, 5.470374ms
1, 1000, 128, 168, 16.777194ms
1, 1000, 1, 168, 0.395045ms
1, 1000, 2, 168, 0.676070ms
1, 1000, 4, 168, 0.919842ms
1, 1000, 8, 168, 1.156933ms
1, 1000, 16, 168, 2.476201ms
1, 1000, 32, 168, 4.924369ms
1, 1000, 64, 168, 8.174982ms
1, 1000, 128, 168, 19.395928ms
1, 10000, 1, 1229, 0.910670ms
1, 10000, 2, 1229, 0.704274ms
1, 10000, 4, 1229, 0.715139ms
1, 10000, 8, 1229, 1.161024ms
1, 10000, 16, 1229, 2.148601ms
1, 10000, 32, 1229, 4.139331ms
1, 10000, 64, 1229, 5.116957ms
1, 10000, 128, 1229, 19.357334ms
1, 100000, 1, 9592, 4.930956ms
1, 100000, 2, 9592, 3.548769ms
1, 100000, 4, 9592, 2.626492ms
1, 100000, 8, 9592, 2.839532ms
1, 100000, 16, 9592, 3.851922ms
1, 100000, 32, 9592, 5.016272ms
1, 100000, 64, 9592, 10.921534ms
1, 100000, 128, 9592, 19.588424ms
2, 10, 1, 4, 0.325082ms
2, 10, 2, 4, 0.671281ms
2, 10, 4, 4, 0.899943ms
2, 10, 8, 4, 1.693813ms
2, 10, 16, 4, 3.077712ms
2, 10, 32, 4, 6.073583ms
2, 10, 64, 4, 14.445657ms
2, 10, 128, 4, 23.010614ms
2, 100, 1, 25, 0.429510ms
2, 100, 2, 25, 0.644143ms
2, 100, 4, 25, 0.953475ms
2, 100, 8, 25, 1.649153ms
2, 100, 16, 25, 3.731705ms
2, 100, 32, 25, 6.435973ms
2, 100, 64, 25, 17.205211ms
2, 100, 128, 25, 24.925040ms
2, 1000, 1, 168, 0.391994ms
2, 1000, 2, 168, 0.552275ms
2, 1000, 4, 168, 1.051584ms
2, 1000, 8, 168, 1.805328ms
2, 1000, 16, 168, 3.253674ms
2, 1000, 32, 168, 6.146288ms
2, 1000, 64, 168, 17.904107ms
2, 1000, 128, 168, 24.208980ms
2, 1000, 1, 168, 0.462419ms
2, 1000, 2, 168, 0.673070ms
2, 1000, 4, 168, 0.834761ms
2, 1000, 8, 168, 1.904442ms
2, 1000, 16, 168, 4.159804ms
2, 1000, 32, 168, 7.745689ms
2, 1000, 64, 168, 15.273539ms
2, 1000, 128, 168, 39.192455ms
2, 10000, 1, 1229, 0.810658ms
2, 10000, 2, 1229, 1.203223ms
2, 10000, 4, 1229, 1.736067ms
2, 10000, 8, 1229, 2.711370ms
2, 10000, 16, 1229, 3.610144ms
2, 10000, 32, 1229, 9.589786ms
2, 10000, 64, 1229, 15.432410ms
2, 10000, 128, 1229, 39.491271ms
2, 100000, 1, 9592, 4.295121ms
2, 100000, 2, 9592, 4.886414ms
2, 100000, 4, 9592, 4.502004ms
2, 100000, 8, 9592, 6.360105ms
2, 100000, 16, 9592, 9.694016ms
2, 100000, 32, 9592, 19.349848ms
2, 100000, 64, 9592, 27.101497ms
2, 100000, 128, 9592, 65.805277ms
3, 10, 1, 4, 0.389589ms
3, 10, 2, 4, 0.459845ms
3, 10, 4, 4, 0.962410ms
3, 10, 8, 4, 2.160819ms
3, 10, 16, 4, 4.312779ms
3, 10, 32, 4, 7.167999ms
3, 10, 64, 4, 15.169977ms
3, 10, 128, 4, 31.617102ms
3, 100, 1, 25, 0.485365ms
3, 100, 2, 25, 0.538423ms
3, 100, 4, 25, 1.085626ms
3, 100, 8, 25, 2.201112ms
3, 100, 16, 25, 4.003542ms
3, 100, 32, 25, 8.246434ms
3, 100, 64, 25, 13.501516ms
3, 100, 128, 25, 28.047221ms
3, 1000, 1, 168, 0.940779ms
3, 1000, 2, 168, 1.838021ms
3, 1000, 4, 168, 1.995762ms
3, 1000, 8, 168, 2.576407ms
3, 1000, 16, 168, 3.740215ms
3, 1000, 32, 168, 7.999330ms
3, 1000, 64, 168, 14.840539ms
3, 1000, 128, 168, 29.184964ms
3, 1000, 1, 168, 0.877335ms
3, 1000, 2, 168, 2.599466ms
3, 1000, 4, 168, 2.105576ms
3, 1000, 8, 168, 3.543731ms
3, 1000, 16, 168, 3.828670ms
3, 1000, 32, 168, 9.113141ms
3, 1000, 64, 168, 16.356008ms
3, 1000, 128, 168, 31.321196ms
3, 10000, 1, 1229, 5.395697ms
3, 10000, 2, 1229, 11.384674ms
3, 10000, 4, 1229, 11.531668ms
3, 10000, 8, 1229, 20.994110ms
3, 10000, 16, 1229, 16.720491ms
3, 10000, 32, 1229, 20.529637ms
3, 10000, 64, 1229, 23.944035ms
3, 10000, 128, 1229, 36.762959ms
3, 100000, 1, 9592, 54.198763ms
3, 100000, 2, 9592, 94.803006ms
3, 100000, 4, 9592, 110.336564ms
3, 100000, 8, 9592, 127.886466ms
3, 100000, 16, 9592, 104.779825ms
3, 100000, 32, 9592, 109.513559ms
3, 100000, 64, 9592, 123.489733ms
3, 100000, 128, 9592, 138.232024ms
